"term_en","description_en","term_zh-CN","term_zh-TW"
"Lord of the Mysteries","CANON - appears in the novel. Not open to translator preference. Novel title. Taiwan print edition keeps 秘; do not let s2twp turn it into 詭祕之主.","诡秘之主","詭秘之主"
"Pathway","CANON - appears in the novel. Not open to translator preference. One of the 22 routes to godhood. Never 路径 or 道路.","途径","途徑"
"Sequence","CANON - appears in the novel. Not open to translator preference. Both the rung (序列9) and the system. Never 等级 or 阶级.","序列","序列"
"Beyonder","CANON - appears in the novel. Not open to translator preference. Never 超凡者 - that is a different novel's term.","非凡者","非凡者"
"Beyonder Characteristic","CANON - appears in the novel. Not open to translator preference.","非凡特性","非凡特性"
"Beyonder power / ability","CANON - appears in the novel. Not open to translator preference.","非凡能力","非凡能力"
"Potion","CANON - appears in the novel. Not open to translator preference. Never 药水 - that is the generic game word and reads as a mistranslation to this fandom.","魔药","魔藥"
"Potion formula","CANON - appears in the novel. Not open to translator preference.","魔药配方","魔藥配方"
"Main ingredient","CANON - appears in the novel. Not open to translator preference.","主材料","主材料"
"Supplementary ingredient","CANON - appears in the novel. Not open to translator preference.","辅助材料","輔助材料"
"Loss of control","CANON - appears in the novel. Not open to translator preference.","失控","失控"
"Acting method","CANON - appears in the novel. Not open to translator preference. The digestion technique: act the role the Sequence names.","扮演法","扮演法"
"Digest (a potion)","CANON - appears in the novel. Not open to translator preference.","消化","消化"
"Advancement","CANON - appears in the novel. Not open to translator preference. Moving up a Sequence. Not 飞升, which carries Taoist-immortal connotations absent from the novel.","晋升","晉升"
"Uniqueness","CANON - appears in the novel. Not open to translator preference. The single Sequence 0 seat per pathway.","独一性","獨一性"
"Grey Fog","CANON - appears in the novel. Not open to translator preference.","灰雾","灰霧"
"Above the grey fog","CANON - appears in the novel. Not open to translator preference.","灰雾之上","灰霧之上"
"Tarot Club","CANON - appears in the novel. Not open to translator preference.","塔罗会","塔羅會"
"Mr. Fool","CANON - appears in the novel. Not open to translator preference.","愚者先生","愚者先生"
"Sealed Artifact","CANON - appears in the novel. Not open to translator preference.","封印物","封印物"
"Mysticism","CANON - appears in the novel. Not open to translator preference. Here TW DOES take 祕 - unlike the book title.","神秘学","神祕學"
"Ritual","CANON - appears in the novel. Not open to translator preference.","仪式","儀式"
"Ritual magic","CANON - appears in the novel. Not open to translator preference.","仪式魔法","儀式魔法"
"Divination","CANON - appears in the novel. Not open to translator preference.","占卜","占卜"
"Spirituality","CANON - appears in the novel. Not open to translator preference.","灵性","靈性"
"Spirit World","CANON - appears in the novel. Not open to translator preference.","灵界","靈界"
"Outer Deity","CANON - appears in the novel. Not open to translator preference.","外神","外神"
"Old One","CANON - appears in the novel. Not open to translator preference.","旧日","舊日"
"True God","CANON - appears in the novel. Not open to translator preference.","真神","真神"
"Demigod","CANON - appears in the novel. Not open to translator preference.","半神","半神"
"Angel","CANON - appears in the novel. Not open to translator preference.","天使","天使"
"Church","CANON - appears in the novel. Not open to translator preference.","教会","教會"
"Monster (lost control)","CANON - appears in the novel. Not open to translator preference.","怪物","怪物"
"Saint","Mysterria's own term, translated in the novel's register. Mysterria rank for Sequence 3. The novel does not use a single fixed word here.","圣者","聖者"
"Archangel","Mysterria's own term, translated in the novel's register. Mysterria rank for Sequence 1.","大天使","大天使"
"Deity","Mysterria's own term, translated in the novel's register. Mysterria rank for Sequence 0.","神灵","神靈"
"Ascension Registry","Mysterria's own term, translated in the novel's register. Mysterria page listing who holds the high Sequences.","晋升名录","晉升名錄"
"Beyonder Archive","Mysterria's own term, translated in the novel's register.","非凡者档案","非凡者檔案"
"Boon pathway","Mysterria's own term, translated in the novel's register. Mysterria's supplementary routes outside the canonical 22.","恩赐途径","恩賜途徑"
"The Circle of Imagination","Mysterria's own term, translated in the novel's register. DO NOT translate literally as 想象之环 or similar. The English name is a pun on 《宿命之环》(Circle of Inevitability), the sequel novel: swap Inevitability for Imagination and you get Minecraft's 'the only limit is your imagination'. 空想之环 keeps the pun intact, and 空想 is itself the canonical word the novel uses (空想家 = Visionary, 空想天使 = Angel of Imagination), so a LOTM reader hears the reference immediately. Flattening it to a literal rendering throws away the whole joke.","空想之环","空想之環"
